No,;Time;Source;Destination;;Time 1;Time 2;Delay;Total Delay;233,631491;;Delay 1;Delay 2;Jitter;Total Jitter;233,612306
156;92,92933400;31,13,95,60;172,20,10,6;;92,929334;93,236814;0,30748;;;;0,260579;0,046901;-0,213678;;
157;93,23681400;31,13,95,60;172,20,10,6;;93,236814;93,283715;0,046901;;;;-1,442183;1,489084;2,931267;;
158;93,28371500;172,20,10,6;31,13,95,60;;93,283715;94,772799;1,489084;;;;1,488913;0,000171;-1,488742;;
166;94,77279900;117,18,237,29;172,20,10,6;;94,772799;94,77297;0,000171;;;;-0,704318;0,704489;1,408807;;
167;94,77297000;172,20,10,6;117,18,237,29;;94,77297;95,477459;0,704489;;;;0,677115;0,027374;-0,649741;;
170;95,47745900;172,20,10,6;13,69,239,73;;95,477459;95,504833;0,027374;;;;0,027046;0,000328;-0,026718;;
171;95,50483300;13,69,239,73;172,20,10,6;;95,504833;95,505161;0,000328;;;;-0,00048;0,000808;0,001288;;
172;95,50516100;172,20,10,6;13,69,239,73;;95,505161;95,505969;0,000808;;;;-0,035098;0,035906;0,071004;;
173;95,50596900;172,20,10,6;13,69,239,73;;95,505969;95,541875;0,035906;;;;-0,423877;0,459783;0,88366;;
174;95,54187500;13,69,239,73;172,20,10,6;;95,541875;96,001658;0,459783;;;;0,459364;0,000419;-0,458945;;
175;96,00165800;13,69,239,73;172,20,10,6;;96,001658;96,002077;0,000419;;;;0,000171;0,000248;7,7E-05;;
176;96,00207700;13,69,239,73;172,20,10,6;;96,002077;96,002325;0,000248;;;;-0,204064;0,204312;0,408376;;
177;96,00232500;172,20,10,6;13,69,239,73;;96,002325;96,206637;0,204312;;;;0,204027;0,000285;-0,203742;;
178;96,20663700;13,69,239,73;172,20,10,6;;96,206637;96,206922;0,000285;;;;0,000168;0,000117;-5,1E-05;;
179;96,20692200;13,69,239,73;172,20,10,6;;96,206922;96,207039;0,000117;;;;-0,131747;0,131864;0,263611;;
180;96,20703900;172,20,10,6;13,69,239,73;;96,207039;96,338903;0,131864;;;;0,101771;0,030093;-0,071678;;
181;96,33890300;172,20,10,6;131,253,33,203;;96,338903;96,368996;0,030093;;;;-0,003819;0,033912;0,037731;;
182;96,36899600;131,253,33,203;172,20,10,6;;96,368996;96,402908;0,033912;;;;0,033644;0,000268;-0,033376;;
183;96,40290800;131,253,33,203;172,20,10,6;;96,402908;96,403176;0,000268;;;;-0,827063;0,827331;1,654394;;
184;96,40317600;172,20,10,6;131,253,33,203;;96,403176;97,230507;0,827331;;;;0,827139;0,000192;-0,826947;;
185;97,23050700;13,69,239,73;172,20,10,6;;97,230507;97,230699;0,000192;;;;-0,016295;0,016487;0,032782;;
186;97,23069900;172,20,10,6;13,69,239,73;;97,230699;97,247186;0,016487;;;;-0,017675;0,034162;0,051837;;
187;97,24718600;172,20,10,6;13,69,239,73;;97,247186;97,281348;0,034162;;;;-0,222223;0,256385;0,478608;;
188;97,28134800;13,69,239,73;172,20,10,6;;97,281348;97,537733;0,256385;;;;0,255528;0,000857;-0,254671;;
189;97,53773300;13,69,239,73;172,20,10,6;;97,537733;97,53859;0,000857;;;;-0,032306;0,033163;0,065469;;
190;97,53859000;172,20,10,6;13,69,239,73;;97,53859;97,571753;0,033163;;;;-0,240027;0,27319;0,513217;;
191;97,57175300;13,69,239,73;172,20,10,6;;97,571753;97,844943;0,27319;;;;0,269379;0,003811;-0,265568;;
192;97,84494300;13,69,239,73;172,20,10,6;;97,844943;97,848754;0,003811;;;;-0,019348;0,023159;0,042507;;
193;97,84875400;172,20,10,6;13,69,239,73;;97,848754;97,871913;0,023159;;;;0,022893;0,000266;-0,022627;;
194;97,87191300;13,69,239,73;172,20,10,6;;97,871913;97,872179;0,000266;;;;-0,000326;0,000592;0,000918;;
195;97,87217900;172,20,10,6;13,69,239,73;;97,872179;97,872771;0,000592;;;;-0,016891;0,017483;0,034374;;
196;97,87277100;172,20,10,6;13,69,239,73;;97,872771;97,890254;0,017483;;;;-0,006444;0,023927;0,030371;;
197;97,89025400;172,20,10,6;13,69,239,73;;97,890254;97,914181;0,023927;;;;-0,41885;0,442777;0,861627;;
198;97,91418100;13,69,239,73;172,20,10,6;;97,914181;98,356958;0,442777;;;;0,442443;0,000334;-0,442109;;
199;98,35695800;13,69,239,73;172,20,10,6;;98,356958;98,357292;0,000334;;;;0,000219;0,000115;-0,000104;;
200;98,35729200;13,69,239,73;172,20,10,6;;98,357292;98,357407;0,000115;;;;-0,153752;0,153867;0,307619;;
201;98,35740700;172,20,10,6;13,69,239,73;;98,357407;98,511274;0,153867;;;;0,150988;0,002879;-0,148109;;
202;98,51127400;172,20,10,6;20,197,71,89;;98,511274;98,514153;0,002879;;;;0,002592;0,000287;-0,002305;;
203;98,51415300;13,69,239,73;172,20,10,6;;98,514153;98,51444;0,000287;;;;0,000287;0;-0,000287;;
204;98,51444000;13,69,239,73;172,20,10,6;;98,51444;98,51444;0;;;;-0,000133;0,000133;0,000266;;
205;98,51444000;13,69,239,73;172,20,10,6;;98,51444;98,514573;0,000133;;;;-0,00604;0,006173;0,012213;;
206;98,51457300;172,20,10,6;13,69,239,73;;98,514573;98,520746;0,006173;;;;-0,018058;0,024231;0,042289;;
207;98,52074600;172,20,10,6;13,69,239,73;;98,520746;98,544977;0,024231;;;;0,003239;0,020992;0,017753;;
208;98,54497700;20,197,71,89;172,20,10,6;;98,544977;98,565969;0,020992;;;;0,010425;0,010567;0,000142;;
209;98,56596900;13,69,239,73;172,20,10,6;;98,565969;98,576536;0,010567;;;;-0,033438;0,044005;0,077443;;
210;98,57653600;20,197,71,89;172,20,10,6;;98,576536;98,620541;0,044005;;;;-0,10162;0,145625;0,247245;;
211;98,62054100;172,20,10,6;20,197,71,89;;98,620541;98,766166;0,145625;;;;0,144926;0,000699;-0,144227;;
212;98,76616600;13,69,239,73;172,20,10,6;;98,766166;98,766865;0,000699;;;;0,000504;0,000195;-0,000309;;
213;98,76686500;172,20,10,6;13,69,239,73;;98,766865;98,76706;0,000195;;;;0,000195;0;-0,000195;;
214;98,76706000;172,20,10,6;13,69,239,73;;98,76706;98,76706;0;;;;-0,048191;0,048191;0,096382;;
215;98,76706000;172,20,10,6;13,69,239,73;;98,76706;98,815251;0,048191;;;;0,048191;0;-0,048191;;
216;98,81525100;13,69,239,73;172,20,10,6;;98,815251;98,815251;0;;;;-0,00016;0,00016;0,00032;;
217;98,81525100;13,69,239,73;172,20,10,6;;98,815251;98,815411;0,00016;;;;0,00016;0;-0,00016;;
